Country,DistribSI,T.Start.abs,T.End.abs,Mean_R,Quantile_2.5,Quantile_97.5
Argentina,Gamma,30/01/2016,27/02/2016,3.44804480894978,2.58899829610082,4.89438781359364
Argentina,Gamma,06/02/2016,05/03/2016,2.98068886128907,2.09088046852775,3.91820724100013
Argentina,Gamma,13/02/2016,12/03/2016,2.57257624003223,1.83079301524706,3.61523407404421
Argentina,Gamma,20/02/2016,19/03/2016,1.91877788535249,1.47199302933113,2.53868072186823
Argentina,Gamma,27/02/2016,26/03/2016,1.64690600643861,1.36055891313013,2.03659029506339
Argentina,Gamma,05/03/2016,02/04/2016,1.21042382619407,1.04371027487976,1.41790577135935
Argentina,Gamma,12/03/2016,09/04/2016,1.00305419007762,0.902842610521233,1.12658451904124
Argentina,Gamma,19/03/2016,16/04/2016,0.875596914826512,0.798921709128809,0.956822553842441
Argentina,Gamma,26/03/2016,23/04/2016,0.852671909111645,0.775955654927334,0.934684487064234
Argentina,Gamma,02/04/2016,30/04/2016,0.995903721385146,0.905955296307925,1.09136994775528
Argentina,Gamma,09/04/2016,07/05/2016,0.90262228928865,0.823775686156819,0.984114702539084
Argentina,Gamma,16/04/2016,14/05/2016,0.734098271903542,0.6650016190191,0.807151695681938
Argentina,Gamma,23/04/2016,21/05/2016,0.659039127102756,0.584809787165716,0.74558002646071
Argentina,Gamma,30/04/2016,28/05/2016,0.661211925271267,0.566253173227601,0.771030154318983
Barbados,Gamma,09/01/2016,06/02/2016,4.11058197815728,2.41271737781583,6.78255315197494
Barbados,Gamma,16/01/2016,13/02/2016,2.39303547609469,1.6075977677378,3.50594838765529
Barbados,Gamma,23/01/2016,20/02/2016,1.48648019835683,1.14603504320241,1.96521880949327
Barbados,Gamma,30/01/2016,27/02/2016,0.939764109614557,0.786648779068925,1.13106900663264
Bolivia,Gamma,02/01/2016,30/01/2016,2.17362171982823,0.935622867420759,4.07447566192281
Bolivia,Gamma,09/01/2016,06/02/2016,1.51625844287587,0.667265202878333,2.75689423730855
Bolivia,Gamma,16/01/2016,13/02/2016,1.09917087016059,0.474589162649608,1.99449874986663
Bolivia,Gamma,23/01/2016,20/02/2016,2.31425694023841,1.3601829189221,3.50860342293959
Bolivia,Gamma,30/01/2016,27/02/2016,1.99131903769145,1.1192016976763,3.09822365577155
Bolivia,Gamma,06/02/2016,05/03/2016,1.83753485452862,1.07304475678436,2.87947002020579
Bolivia,Gamma,13/02/2016,12/03/2016,1.50030976000512,0.918036591819146,2.24814320364264
Bolivia,Gamma,20/02/2016,19/03/2016,1.38244646899559,0.874130091830773,2.01956981963535
Bolivia,Gamma,27/02/2016,26/03/2016,1.07124813349585,0.658580137031914,1.58245303159461
Bolivia,Gamma,05/03/2016,02/04/2016,1.37502586881493,0.916372009409103,1.92563304853091
Bolivia,Gamma,12/03/2016,09/04/2016,1.8220266889012,1.2968535929952,2.43242569844765
Bolivia,Gamma,19/03/2016,16/04/2016,1.95795691941182,1.38845450834999,2.62456371111101
