"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MX000076393","MONTERREY CITY, MX","2015-04-02","0.00","78","88","65"
"MX000076393","MONTERREY CITY, MX","2015-04-03","0.00","82","92","65"
"MX000076393","MONTERREY CITY, MX","2015-04-04","0.00","72",,
"MX000076393","MONTERREY CITY, MX","2015-04-05",,"64",,
"MX000076393","MONTERREY CITY, MX","2015-04-06","0.00","72","81","57"
"MX000076393","MONTERREY CITY, MX","2015-04-07","0.02","72",,
"MX000076393","MONTERREY CITY, MX","2015-04-08","0.00","72","82","66"
"MX000076393","MONTERREY CITY, MX","2015-04-09","0.00","80",,
"MX000076393","MONTERREY CITY, MX","2015-04-10","0.00","78","94","66"
"MX000076393","MONTERREY CITY, MX","2015-04-11","0.24","74","86","68"
"MX000076393","MONTERREY CITY, MX","2015-04-12","0.03","73","82","67"
"MX000076393","MONTERREY CITY, MX","2015-04-13","1.18","72","83","64"
"MX000076393","MONTERREY CITY, MX","2015-04-14","0.48","72","86","64"
"MX000076393","MONTERREY CITY, MX","2015-04-15","0.07","69","76","64"
"MX000076393","MONTERREY CITY, MX","2015-04-16","0.00","71",,
"MX000076393","MONTERREY CITY, MX","2015-04-17","0.00","75","85","66"
"MX000076393","MONTERREY CITY, MX","2015-04-18","0.00","78",,
"MX000076393","MONTERREY CITY, MX","2015-04-19","0.00","76","93","67"
"MX000076393","MONTERREY CITY, MX","2015-04-20","0.04","72",,
"MX000076393","MONTERREY CITY, MX","2015-04-21","0.18","65","75","62"
"MX000076393","MONTERREY CITY, MX","2015-04-22","0.00","72",,
"MX000076393","MONTERREY CITY, MX","2015-04-23","0.00","79","87","66"
"MX000076393","MONTERREY CITY, MX","2015-04-24","0.00","78",,
"MX000076393","MONTERREY CITY, MX","2015-04-25","0.17","80","95","70"
"MX000076393","MONTERREY CITY, MX","2015-04-26","0.00","81","97","72"
"MX000076393","MONTERREY CITY, MX","2015-04-27","0.00","79","99","71"
"MX000076393","MONTERREY CITY, MX","2015-04-28","0.00","70","88","61"
"MX000076393","MONTERREY CITY, MX","2015-04-29","0.00","66","80","59"
"MX000076393","MONTERREY CITY, MX","2015-04-30","0.00","68","79","59"
"MX000076393","MONTERREY CITY, MX","2015-05-01","0.00","70","82","59"
"MX000076393","MONTERREY CITY, MX","2015-05-02","0.00","71","84","61"
"MX000076393","MONTERREY CITY, MX","2015-05-03","0.00","70","77","63"
"MX000076393","MONTERREY CITY, MX","2015-05-04","0.00","72","78","65"
"MX000076393","MONTERREY CITY, MX","2015-05-05",,"72",,
"MX000076393","MONTERREY CITY, MX","2015-05-06","0.01","76",,
"MX000076393","MONTERREY CITY, MX","2015-05-07","0.00","79",,
"MX000076393","MONTERREY CITY, MX","2015-05-08","0.00","81","92","72"
"MX000076393","MONTERREY CITY, MX","2015-05-09","0.02","78",,
"MX000076393","MONTERREY CITY, MX","2015-05-10","0.48","78","97","69"
"MX000076393","MONTERREY CITY, MX","2015-05-11","0.48","80","89","69"
"MX000076393","MONTERREY CITY, MX","2015-05-12","0.00","75","87","67"
"MX000076393","MONTERREY CITY, MX","2015-05-13","0.45","75",,
"MX000076393","MONTERREY CITY, MX","2015-05-14","0.00","76","86","70"
"MX000076393","MONTERREY CITY, MX","2015-05-15",,"78",,
"MX000076393","MONTERREY CITY, MX","2015-05-16","0.01","79","91","69"
"MX000076393","MONTERREY CITY, MX","2015-05-17","0.00","83","93","69"
"MX000076393","MONTERREY CITY, MX","2015-05-18","0.12","78","96","73"
"MX000076393","MONTERREY CITY, MX","2015-05-19","0.11","78","88","73"
"MX000076393","MONTERREY CITY, MX","2015-05-20","0.01","79","88","73"
"MX000076393","MONTERREY CITY, MX","2015-05-21","0.00","77","91","73"
"MX000076393","MONTERREY CITY, MX","2015-05-22","0.06","75","85","70"
"MX000076393","MONTERREY CITY, MX","2015-05-23","0.00","78",,
"MX000076393","MONTERREY CITY, MX","2015-05-24","0.00","75","91","66"
"MX000076393","MONTERREY CITY, MX","2015-05-25","0.03","80","91","66"
"MX000076393","MONTERREY CITY, MX","2015-05-26","0.00","81","93","70"
"MX000076393","MONTERREY CITY, MX","2015-05-27","0.03","80","90","75"
"MX000076393","MONTERREY CITY, MX","2015-05-28","0.00","79","88","73"
"MX000076393","MONTERREY CITY, MX","2015-05-29","0.00","79","90","73"
"MX000076393","MONTERREY CITY, MX","2015-05-30","0.00","80","90","73"
"MX000076393","MONTERREY CITY, MX","2015-05-31","0.04","73","91","68"
"MX000076393","MONTERREY CITY, MX","2015-06-01","0.00","78",,
"MX000076393","MONTERREY CITY, MX","2015-06-02","0.00","79","90","69"
"MX000076393","MONTERREY CITY, MX","2015-06-03","0.00","78","91","71"
"MX000076393","MONTERREY CITY, MX","2015-06-04",,"80",,
"MX000076393","MONTERREY CITY, MX","2015-06-05",,"80",,
"MX000076393","MONTERREY CITY, MX","2015-06-06",,"78","88","72"
"MX000076393","MONTERREY CITY, MX","2015-06-07","0.00","79","88","71"
"MX000076393","MONTERREY CITY, MX","2015-06-08",,"79",,
"MX000076393","MONTERREY CITY, MX","2015-06-09",,"80",,
"MX000076393","MONTERREY CITY, MX","2015-06-10",,"81",,
"MX000076393","MONTERREY CITY, MX","2015-06-11",,"82",,
"MX000076393","MONTERREY CITY, MX","2015-06-12",,"82",,
"MX000076393","MONTERREY CITY, MX","2015-06-13",,"82","94","73"
"MX000076393","MONTERREY CITY, MX","2015-06-14",,"83",,
"MX000076393","MONTERREY CITY, MX","2015-06-15",,"81","94","74"
"MX000076393","MONTERREY CITY, MX","2015-06-16",,"82",,
"MX000076393","MONTERREY CITY, MX","2015-06-17","0.09","80","94","73"
"MX000076393","MONTERREY CITY, MX","2015-06-18","0.00","78",,
"MX000076393","MONTERREY CITY, MX","2015-06-19","0.37","74","87","70"
"MX000076393","MONTERREY CITY, MX","2015-06-20","1.36","77","90","70"
"MX000076393","MONTERREY CITY, MX","2015-06-21","0.00","77","90","73"
"MX000076393","MONTERREY CITY, MX","2015-06-22","0.11","75","88","71"
"MX000076393","MONTERREY CITY, MX","2015-06-23","0.11","77",,
"MX000076393","MONTERREY CITY, MX","2015-06-24","0.00","78",,
"MX000076393","MONTERREY CITY, MX","2015-06-25","0.04","80","90","72"
"MX000076393","MONTERREY CITY, MX","2015-06-26","0.00","81",,
"MX000076393","MONTERREY CITY, MX","2015-06-27",,"80","94","72"
"MX000076393","MONTERREY CITY, MX","2015-06-28",,"81","93","72"
"MX000076393","MONTERREY CITY, MX","2015-06-29",,"79",,
"MX000076393","MONTERREY CITY, MX","2015-06-30",,"78",,
"MX000076393","MONTERREY CITY, MX","2015-07-01","0.00","76",,
"MX000076393","MONTERREY CITY, MX","2015-07-02","0.20","75","86","67"
"MX000076393","MONTERREY CITY, MX","2015-07-03","0.05","79","91","67"
"MX000076393","MONTERREY CITY, MX","2015-07-04","0.00","85",,
"MX000076393","MONTERREY CITY, MX","2015-07-05",,"80",,
"MX000076393","MONTERREY CITY, MX","2015-07-06",,"82","92","71"
"MX000076393","MONTERREY CITY, MX","2015-07-07",,"83","92","71"
"MX000076393","MONTERREY CITY, MX","2015-07-08",,"82",,
"MX000076393","MONTERREY CITY, MX","2015-07-09",,"78",,
"MX000076393","MONTERREY CITY, MX","2015-07-11",,"78",,
"MX000076393","MONTERREY CITY, MX","2015-07-13",,"83","96","71"
"MX000076393","MONTERREY CITY, MX","2015-07-14",,"84",,
"MX000076393","MONTERREY CITY, MX","2015-07-15","0.00","84","96","72"
"MX000076393","MONTERREY CITY, MX","2015-07-16",,"85",,
"MX000076393","MONTERREY CITY, MX","2015-07-17",,"86",,
"MX000076393","MONTERREY CITY, MX","2015-07-18",,"84","98","74"
"MX000076393","MONTERREY CITY, MX","2015-07-19",,"84",,
"MX000076393","MONTERREY CITY, MX","2015-07-20",,"84","98","73"
"MX000076393","MONTERREY CITY, MX","2015-07-21",,"85",,
"MX000076393","MONTERREY CITY, MX","2015-07-22","0.00","84","98","73"
"MX000076393","MONTERREY CITY, MX","2015-07-23",,"86",,
"MX000076393","MONTERREY CITY, MX","2015-07-24",,"86","99","75"
"MX000076393","MONTERREY CITY, MX","2015-07-25",,"87",,
"MX000076393","MONTERREY CITY, MX","2015-07-26","0.00","88","101","77"
"MX000076393","MONTERREY CITY, MX","2015-07-27",,"87","103","77"
"MX000076393","MONTERREY CITY, MX","2015-08-01",,"85",,
"MX000076393","MONTERREY CITY, MX","2015-08-02",,"87",,
"MX000076393","MONTERREY CITY, MX","2015-08-03","0.00","86","100","74"
"MX000076393","MONTERREY CITY, MX","2015-08-04",,"89",,
"MX000076393","MONTERREY CITY, MX","2015-08-05","0.00","86",,
"MX000076393","MONTERREY CITY, MX","2015-08-06",,"86",,
"MX000076393","MONTERREY CITY, MX","2015-08-07","0.00","88","102","76"
"MX000076393","MONTERREY CITY, MX","2015-08-08","0.00","88","102","76"
"MX000076393","MONTERREY CITY, MX","2015-08-09",,"86",,
"MX000076393","MONTERREY CITY, MX","2015-08-10",,"87",,
"MX000076393","MONTERREY CITY, MX","2015-08-11",,"87",,
"MX000076393","MONTERREY CITY, MX","2015-08-12",,"83",,
"MX000076393","MONTERREY CITY, MX","2015-08-13","0.00","83","100","75"
"MX000076393","MONTERREY CITY, MX","2015-08-14","0.00","82",,
"MX000076393","MONTERREY CITY, MX","2015-08-15","0.00","84","102","75"
"MX000076393","MONTERREY CITY, MX","2015-08-16","0.00","85","102","73"
"MX000076393","MONTERREY CITY, MX","2015-08-17","0.00","87","99","74"
"MX000076393","MONTERREY CITY, MX","2015-08-18","0.00","84","99","74"
"MX000076393","MONTERREY CITY, MX","2015-08-19","0.00","87",,
"MX000076393","MONTERREY CITY, MX","2015-08-20","0.34","82","104","75"
"MX000076393","MONTERREY CITY, MX","2015-08-21","0.00","77","93","71"
"MX000076393","MONTERREY CITY, MX","2015-08-22",,"82","95","71"
"MX000076393","MONTERREY CITY, MX","2015-08-23",,"82","96","74"
"MX000076393","MONTERREY CITY, MX","2015-08-24",,"83",,
"MX000076393","MONTERREY CITY, MX","2015-08-25","0.05","84","99","74"
"MX000076393","MONTERREY CITY, MX","2015-08-26","0.01","83","98","74"
"MX000076393","MONTERREY CITY, MX","2015-08-27","0.00","84","97","73"
"MX000076393","MONTERREY CITY, MX","2015-08-28","0.00","83","97","72"
"MX000076393","MONTERREY CITY, MX","2015-08-29","0.00","84","97","71"
"MX000076393","MONTERREY CITY, MX","2015-08-30","0.00","85","97","71"
"MX000076393","MONTERREY CITY, MX","2015-08-31","0.00","83","97","73"
"MX000076393","MONTERREY CITY, MX","2015-09-01","0.03","80","98","71"
"MX000076393","MONTERREY CITY, MX","2015-09-02","0.00","83",,
"MX000076393","MONTERREY CITY, MX","2015-09-03",,"82",,
"MX000076393","MONTERREY CITY, MX","2015-09-04",,"81",,
"MX000076393","MONTERREY CITY, MX","2015-09-05",,"84",,
"MX000076393","MONTERREY CITY, MX","2015-09-06","0.00","86","97","76"
"MX000076393","MONTERREY CITY, MX","2015-09-07",,"85",,
"MX000076393","MONTERREY CITY, MX","2015-09-08",,"85","98","76"
"MX000076393","MONTERREY CITY, MX","2015-09-09","0.00","84","99","76"
"MX000076393","MONTERREY CITY, MX","2015-09-10",,"85",,
"MX000076393","MONTERREY CITY, MX","2015-09-11","0.00","82","95","76"
"MX000076393","MONTERREY CITY, MX","2015-09-12","0.04","72",,
"MX000076393","MONTERREY CITY, MX","2015-09-13","0.00","78",,
"MX000076393","MONTERREY CITY, MX","2015-09-14",,"78",,
"MX000076393","MONTERREY CITY, MX","2015-09-15",,"79",,
"MX000076393","MONTERREY CITY, MX","2015-09-16","0.00","80","91","74"
"MX000076393","MONTERREY CITY, MX","2015-09-17","0.01","80",,
"MX000076393","MONTERREY CITY, MX","2015-09-18","0.00","81","93","73"
"MX000076393","MONTERREY CITY, MX","2015-09-19",,"81",,
"MX000076393","MONTERREY CITY, MX","2015-09-20",,"80",,
"MX000076393","MONTERREY CITY, MX","2015-09-21",,"82",,
"MX000076393","MONTERREY CITY, MX","2015-09-22",,"82",,
"MX000076393","MONTERREY CITY, MX","2015-09-23",,"78","94","73"
"MX000076393","MONTERREY CITY, MX","2015-09-24","0.00","79","90","71"
"MX000076393","MONTERREY CITY, MX","2015-09-25",,"80",,
"MX000076393","MONTERREY CITY, MX","2015-09-26","0.01","77","93","69"
"MX000076393","MONTERREY CITY, MX","2015-09-27","0.00","77","93","67"
"MX000076393","MONTERREY CITY, MX","2015-09-28","0.00","80",,
"MX000076393","MONTERREY CITY, MX","2015-09-29","0.00","82","96","69"
"MX000076393","MONTERREY CITY, MX","2015-09-30","0.00","83","98","71"
"MX000076393","MONTERREY CITY, MX","2015-10-01","0.00","83","96","74"
"MX000076393","MONTERREY CITY, MX","2015-10-02","0.00","82",,
"MX000076393","MONTERREY CITY, MX","2015-10-03","0.00","80","97","69"
"MX000076393","MONTERREY CITY, MX","2015-10-04","0.00","75","90","68"
"MX000076393","MONTERREY CITY, MX","2015-10-05","0.01","75","81","68"
"MX000076393","MONTERREY CITY, MX","2015-10-06","0.00","76",,
"MX000076393","MONTERREY CITY, MX","2015-10-07","0.12","77",,
"MX000076393","MONTERREY CITY, MX","2015-10-08","0.04","76","88","69"
"MX000076393","MONTERREY CITY, MX","2015-10-09","0.00","74",,
"MX000076393","MONTERREY CITY, MX","2015-10-10",,"77",,
"MX000076393","MONTERREY CITY, MX","2015-10-11",,"80",,
"MX000076393","MONTERREY CITY, MX","2015-10-12","0.00","83",,
"MX000076393","MONTERREY CITY, MX","2015-10-13","0.00","86","104","70"
"MX000076393","MONTERREY CITY, MX","2015-10-14","0.19","80","102","71"
"MX000076393","MONTERREY CITY, MX","2015-10-15","0.00","79","96","71"
"MX000076393","MONTERREY CITY, MX","2015-10-16",,"78","92","70"
"MX000076393","MONTERREY CITY, MX","2015-10-17","0.01","74",,
"MX000076393","MONTERREY CITY, MX","2015-10-18","0.00","72","87","67"
"MX000076393","MONTERREY CITY, MX","2015-10-19",,"74","85","64"
"MX000076393","MONTERREY CITY, MX","2015-10-20",,"74",,
"MX000076393","MONTERREY CITY, MX","2015-10-21",,"76",,
"MX000076393","MONTERREY CITY, MX","2015-10-22","0.65","78","89","64"
"MX000076393","MONTERREY CITY, MX","2015-10-23","0.00","79",,
"MX000076393","MONTERREY CITY, MX","2015-10-24","0.64","73",,
"MX000076393","MONTERREY CITY, MX","2015-10-25","1.41","71",,
"MX000076393","MONTERREY CITY, MX","2015-10-26","0.00","69","83","60"
"MX000076393","MONTERREY CITY, MX","2015-10-27","0.00","72",,
"MX000076393","MONTERREY CITY, MX","2015-10-28","0.00","77",,
"MX000076393","MONTERREY CITY, MX","2015-10-29",,"81","96","64"
"MX000076393","MONTERREY CITY, MX","2015-10-30","0.07","75","89","67"
"MX000076393","MONTERREY CITY, MX","2015-10-31","0.00","74",,
"MX000076393","MONTERREY CITY, MX","2015-11-01","0.05","71",,
"MX000076393","MONTERREY CITY, MX","2015-11-02","0.04","75","85","60"
"MX000076393","MONTERREY CITY, MX","2015-11-03","0.00","75","88","62"
"MX000076393","MONTERREY CITY, MX","2015-11-04",,"76",,
"MX000076393","MONTERREY CITY, MX","2015-11-05","0.00","80","86","67"
"MX000076393","MONTERREY CITY, MX","2015-11-06",,"79","87","73"
"MX000076393","MONTERREY CITY, MX","2015-11-07","0.01","74","85","69"
"MX000076393","MONTERREY CITY, MX","2015-11-08","0.12","61","72","57"
"MX000076393","MONTERREY CITY, MX","2015-11-09","0.00","62",,
"MX000076393","MONTERREY CITY, MX","2015-11-10",,"66",,
"MX000076393","MONTERREY CITY, MX","2015-11-11","0.00","73",,
"MX000076393","MONTERREY CITY, MX","2015-11-12",,"74",,
"MX000076393","MONTERREY CITY, MX","2015-11-13",,"65",,
"MX000076393","MONTERREY CITY, MX","2015-11-14","0.26","59","65","57"
