coordinates,date,precipProbability,precipIntensity,avgTemp,humidity,pressure,Searches,Cases
-12.9711;-38.5108,12/03/2016,NA,NA,28.84785714,0.667142857,1015.257143,81,3736
-12.9711;-38.5108,19/03/2016,NA,NA,29.25714286,0.678571429,1014.005714,72,2828
-12.9711;-38.5108,26/03/2016,NA,NA,28.17428571,0.734285714,1015.208,74,1812
-12.9711;-38.5108,02/04/2016,NA,NA,28.45642857,0.712857143,1013.938333,66,1618
-12.9711;-38.5108,09/04/2016,NA,NA,27.89642857,0.708571429,1014.132857,58,862
-12.9711;-38.5108,16/04/2016,NA,NA,27.65857143,0.672857143,1015.72,31,589
-12.9711;-38.5108,23/04/2016,NA,NA,27.5,0.695714286,1013.475714,44,408
-12.9711;-38.5108,30/04/2016,NA,NA,26.46857143,0.757142857,1016.04,60,305
-12.9711;-38.5108,07/05/2016,NA,NA,27.10285714,0.682857143,1015.684286,49,272
-12.9711;-38.5108,14/05/2016,NA,NA,26.07214286,0.76,1016.428,54,124
