coordinates,date,precipProbability,precipIntensity,precipIntensityMax,temperatureHigh,temperatureLow,humidity,searches,yearNumber,cases
25.7330;-100.3000,08/10/2016,0.082857143,0.007257143,0.1212,30.39857143,20.38428571,0.717142857,46,0.770491803,29
25.7330;-100.3000,15/10/2016,0,0,0,30.04285714,18.92142857,0.684285714,53,0.789617486,48
25.7330;-100.3000,22/10/2016,0.262857143,0.092171429,1.691271429,29.18714286,17.19857143,0.667142857,94,0.808743169,143
25.7330;-100.3000,29/10/2016,0,0,0,27.53142857,17.15,0.69,100,0.827868852,45
25.7330;-100.3000,05/11/2016,0.202857143,0.091071429,0.9739,28.01285714,19.31142857,0.738571429,87,0.846994536,53
25.7330;-100.3000,12/11/2016,0.211428571,0.2471,5.516871429,21.61714286,15.81857143,0.817142857,90,0.866120219,10
25.7330;-100.3000,19/11/2016,0.142857143,0.006528571,0.070757143,25.08428571,12.89857143,0.714285714,83,0.885245902,27
25.7330;-100.3000,26/11/2016,0.06,0.001457143,0.030842857,23.64,14.44857143,0.681428571,52,0.904371585,2
25.7330;-100.3000,03/12/2016,0.142857143,0.0058,0.0918,25.74714286,14.45857143,0.615714286,75,0.923497268,1
25.7330;-100.3000,10/12/2016,0.292857143,0.018871429,0.146957143,16.87285714,8.704285714,0.777142857,53,0.942622951,303
25.7330;-100.3000,17/12/2016,0.218571429,0.002185714,0.061314286,25.33285714,13.08,0.774285714,38,0.961748634,22
25.7330;-100.3000,24/12/2016,0.135714286,0.006528571,0.066771429,18.24,10.25714286,0.634285714,25,0.980874317,2
25.7330;-100.3000,31/12/2016,0,0,0,23.93,15.24571429,0.708571429,12,1,2
25.7330;-100.3000,07/01/2017,0.06,0.000728571,0.015242857,20.86571429,8.535714286,0.661428571,18,0.019125683,0
25.7330;-100.3000,14/01/2017,0,0,0,23.66142857,11.70714286,0.637142857,28,0.038251366,2
25.7330;-100.3000,21/01/2017,0.075714286,0.001085714,0.019228571,25.13428571,13.65714286,0.657142857,25,0.057377049,3
25.7330;-100.3000,28/01/2017,0.271428571,0.075114286,0.3596,22.50714286,8.862857143,0.454285714,20,0.076502732,1
25.7330;-100.3000,04/02/2017,0.218571429,0.011614286,0.206457143,22.44,10.86,0.601428571,33,0.095628415,0
25.7330;-100.3000,11/02/2017,0,0,0.003985714,28.68857143,14.74857143,0.594285714,38,0.114754098,0
25.7330;-100.3000,18/02/2017,0.015714286,0.000357143,0.003985714,25.39285714,12.79142857,0.54,13,0.133879781,0
25.7330;-100.3000,25/02/2017,0.007142857,0.001085714,0.023585714,30.68571429,14.85142857,0.342857143,22,0.153005464,0
25.7330;-100.3000,04/03/2017,0.202857143,0.1934,3.9867,26.08285714,14.60285714,0.541428571,11,0.172131148,0
25.7330;-100.3000,11/03/2017,0.421428571,0.129528571,2.018557143,26.68714286,16.57714286,0.771428571,31,0.191256831,0
25.7330;-100.3000,18/03/2017,0.142857143,0.036642857,0.475342857,24.55571429,15.54285714,0.754285714,27,0.210382514,0
25.7330;-100.3000,25/03/2017,0.06,0.000728571,0.015242857,30.09,17.12571429,0.632857143,22,0.229508197,0
25.7330;-100.3000,01/04/2017,0,0,0,32.48571429,18.30285714,0.518571429,10,0.24863388,0
25.7330;-100.3000,08/04/2017,0,0,0,28.97428571,15.45714286,0.472857143,27,0.267759563,0
25.7330;-100.3000,15/04/2017,0.218571429,0.068942857,1.120871429,27.89428571,19.57285714,0.72,44,0.286885246,0
25.7330;-100.3000,22/04/2017,0.254285714,0.0156,0.226071429,29.76285714,17.72857143,0.664285714,4,0.306010929,0
25.7330;-100.3000,29/04/2017,0,0,0.003628571,34.85428571,18.85142857,0.468571429,54,0.325136612,0
25.7330;-100.3000,06/05/2017,0.127142857,0.0185,0.422,30.91142857,16.93142857,0.462857143,16,0.344262295,0
25.7330;-100.3000,13/05/2017,0.142857143,0.159642857,3.796571429,30.31571429,20.84,0.628571429,26,0.363387978,0
25.7330;-100.3000,20/05/2017,0.075714286,0.002542857,0.0381,33.56571429,23.02714286,0.622857143,10,0.382513661,0
25.7330;-100.3000,27/05/2017,0.341428571,0.041728571,0.530857143,31.30571429,21.23857143,0.691428571,5,0.401639344,0
25.7330;-100.3000,03/06/2017,0.222857143,0.022128571,0.455742857,30.72,20.85571429,0.661428571,22,0.420765027,0
25.7330;-100.3000,10/06/2017,0,0,0,34.89714286,21.99571429,0.481428571,20,0.43989071,0
25.7330;-100.3000,17/06/2017,0,0,0,36.74428571,23.38142857,0.557142857,3,0.459016393,0
25.7330;-100.3000,24/06/2017,0.062857143,0.007985714,0.193771429,37.97857143,23.83571429,0.472857143,6,0.478142077,1
25.7330;-100.3000,01/07/2017,0,0,0,34.26,21.48285714,0.624285714,9,0.49726776,1
25.7330;-100.3000,08/07/2017,0.062857143,0.001457143,0.0323,34.40571429,21.43142857,0.588571429,20,0.516393443,0
25.7330;-100.3000,15/07/2017,0.222857143,0.025042857,0.535942857,31.89428571,21.72,0.671428571,10,0.535519126,0
25.7330;-100.3000,22/07/2017,0.205714286,0.013057143,0.25,35.53,23.01142857,0.601428571,11,0.554644809,0
25.7330;-100.3000,29/07/2017,0,0,0,37.06428571,23.42571429,0.524285714,5,0.573770492,2
25.7330;-100.3000,05/08/2017,0,0,0,36.66571429,24.01,0.565714286,10,0.592896175,3
25.7330;-100.3000,12/08/2017,0.222857143,0.175985714,3.281314286,35.12714286,22.92428571,0.648571429,16,0.612021858,2
25.7330;-100.3000,19/08/2017,0.062857143,0.026128571,0.629557143,36.24857143,23.96428571,0.572857143,16,0.631147541,8
25.7330;-100.3000,26/08/2017,0.08,0.002542857,0.040271429,36.14571429,22.86285714,0.574285714,61,0.650273224,2
25.7330;-100.3000,02/09/2017,0,0,0,35.38142857,22.43857143,0.458571429,18,0.669398907,7
25.7330;-100.3000,09/09/2017,0.677142857,0.2794,3.600628571,29.91142857,19.87285714,0.707142857,24,0.68852459,7
25.7330;-100.3000,16/09/2017,0,0,0,34.24142857,19.59857143,0.537142857,26,0.707650273,10
25.7330;-100.3000,23/09/2017,0,0,0,32.68571429,23.08571429,0.685714286,25,0.726775956,1
25.7330;-100.3000,30/09/2017,0.777142857,0.997842857,9.3697,29.33285714,21.22142857,0.805714286,11,0.745901639,7
25.7330;-100.3000,07/10/2017,0.571428571,0.3498,5.385528571,29.07,20.49857143,0.794285714,11,0.765027322,1
25.7330;-100.3000,14/10/2017,0.354285714,0.035571429,0.625571429,28.57142857,19.18428571,0.777142857,7,0.784153005,4
25.7330;-100.3000,21/10/2017,0.082857143,0.005085714,0.064942857,26.75428571,15.58,0.667142857,7,0.803278689,5
25.7330;-100.3000,28/10/2017,0.075714286,0.002171429,0.0381,26.03142857,12.65428571,0.632857143,15,0.822404372,13
25.7330;-100.3000,04/11/2017,0,0,0,28.88714286,16.65142857,0.665714286,11,0.841530055,5
25.7330;-100.3000,11/11/2017,0.457142857,0.338185714,7.742642857,23.90857143,15.25857143,0.814285714,8,0.860655738,1
25.7330;-100.3000,18/11/2017,0.007142857,0.000728571,0.007257143,27.69714286,16.31714286,0.764285714,8,0.879781421,6
25.7330;-100.3000,25/11/2017,0,0,0,25.37428571,9.092857143,0.487142857,14,0.898907104,2
25.7330;-100.3000,02/12/2017,0,0,0,24.92,14.36428571,0.715714286,13,0.918032787,2
25.7330;-100.3000,09/12/2017,0.285714286,0.041728571,0.254,18.44714286,7.97,0.707142857,5,0.93715847,6
25.7330;-100.3000,16/12/2017,0.428571429,0.218071429,4.1812,16.86142857,7.234285714,0.684285714,2,0.956284153,0
25.7330;-100.3000,23/12/2017,0.142857143,0.001457143,0.036285714,21.61428571,12.03,0.754285714,7,0.975409836,0
25.7330;-100.3000,30/12/2017,0.285714286,0.008357143,0.072571429,16.55142857,8.824285714,0.827142857,12,0.994535519,0
25.7330;-100.3000,06/01/2018,0.142857143,0.006542857,0.068571429,12.37285714,3.431428571,0.778571429,4,0.016393443,0
25.7330;-100.3000,13/01/2018,0,0,0,22.30571429,7.784285714,0.542857143,3,0.035519126,0
25.7330;-100.3000,20/01/2018,0.142857143,0.002185714,0.036285714,14.38142857,4.291428571,0.76,11,0.054644809,0
25.7330;-100.3000,27/01/2018,0.142857143,0.006528571,0.096528571,18.33857143,9.905714286,0.682857143,0,0.073770492,0
25.7330;-100.3000,03/02/2018,0.062857143,0.003271429,0.0323,21.97,9.541428571,0.587142857,8,0.092896175,0
25.7330;-100.3000,10/02/2018,0.188571429,0.0069,0.128828571,22.01857143,12.73285714,0.724285714,2,0.112021858,0
