coordinates,date,precipProbability,precipIntensity,precipIntensityMax,temperatureHigh,temperatureLow,humidity,searches,yearNumber,cases
-14.863;-40.863,02/01/2016,NA,NA,NA,31.15285714,19.81428571,0.6,18,0.005464481,723
-14.863;-40.863,09/01/2016,NA,NA,NA,29.52714286,19.09285714,0.774285714,21,0.024590164,1521
-14.863;-40.863,16/01/2016,NA,NA,NA,30.79285714,19.98857143,0.765714286,27,0.043715847,1902
-14.863;-40.863,23/01/2016,NA,NA,NA,25.83714286,19.66142857,0.88,23,0.06284153,1921
-14.863;-40.863,30/01/2016,NA,NA,NA,28.21857143,19.17857143,0.821428571,39,0.081967213,2465
-14.863;-40.863,06/02/2016,NA,NA,NA,28.84285714,18.68857143,0.748571429,52,0.101092896,3191
-14.863;-40.863,13/02/2016,NA,NA,NA,29.54428571,19.07714286,0.688571429,44,0.120218579,4462
-14.863;-40.863,20/02/2016,NA,NA,NA,30.91428571,17.92285714,0.72,60,0.139344262,6610
-14.863;-40.863,27/02/2016,NA,NA,NA,30.52714286,18.89142857,0.688571429,60,0.158469945,6458
-14.863;-40.863,05/03/2016,NA,NA,NA,30.93714286,19.52714286,0.705714286,80,0.177595628,5097
-14.863;-40.863,12/03/2016,NA,NA,NA,31.28285714,18.73142857,0.694285714,84,0.196721311,3736
-14.863;-40.863,19/03/2016,NA,NA,NA,29.71285714,18.12857143,0.762857143,67,0.215846995,2828
-14.863;-40.863,26/03/2016,NA,NA,NA,31.28714286,19.06857143,0.694285714,39,0.234972678,1812
-14.863;-40.863,02/04/2016,NA,NA,NA,30.02285714,18.42428571,0.721428571,89,0.254098361,1618
-14.863;-40.863,09/04/2016,NA,NA,NA,30.65571429,18.96142857,0.691428571,76,0.273224044,862
-14.863;-40.863,16/04/2016,NA,NA,NA,30.40857143,19.77428571,0.734285714,51,0.292349727,589
-14.863;-40.863,23/04/2016,NA,NA,NA,28.62,21.21,0.812857143,47,0.31147541,408
-14.863;-40.863,30/04/2016,NA,NA,NA,29.57,18.29,0.715714286,52,0.330601093,305
-14.863;-40.863,07/05/2016,NA,NA,NA,28.31714286,18.93,0.765714286,50,0.349726776,272
-14.863;-40.863,14/05/2016,NA,NA,NA,28.60714286,16.96714286,0.675714286,56,0.368852459,124
-14.863;-40.863,21/05/2016,NA,NA,NA,27.66142857,18.01285714,0.764285714,47,0.387978142,124
