City,Date,Cases,Rain,Temp,Searches
Mexico-Nuevo_Leon,23/09/2017,1,172.1,26.2,4
Mexico-Nuevo_Leon,30/09/2017,7,172.1,26.2,5
Mexico-Nuevo_Leon,07/10/2017,1,64.9,21.6,11
Mexico-Nuevo_Leon,14/10/2017,4,64.9,21.6,9
Mexico-Nuevo_Leon,21/10/2017,5,64.9,21.6,10
Mexico-Nuevo_Leon,28/10/2017,13,64.9,21.6,11
Mexico-Nuevo_Leon,04/11/2017,5,7.8,19.6,7
Mexico-Nuevo_Leon,11/11/2017,1,7.8,19.6,11
Mexico-Nuevo_Leon,18/11/2017,6,7.8,19.6,3
Mexico-Nuevo_Leon,25/11/2017,2,7.8,19.6,6
