City,Date,Searches,Rain,Temp,Cases
Mexico-Nuevo_Leon,23/09/2017,4,172.1,26.2,1
Mexico-Nuevo_Leon,30/09/2017,5,172.1,26.2,7
Mexico-Nuevo_Leon,07/10/2017,11,64.9,21.6,1
Mexico-Nuevo_Leon,14/10/2017,9,64.9,21.6,4
Mexico-Nuevo_Leon,21/10/2017,10,64.9,21.6,5
Mexico-Nuevo_Leon,28/10/2017,11,64.9,21.6,13
Mexico-Nuevo_Leon,04/11/2017,7,7.8,19.6,5
Mexico-Nuevo_Leon,11/11/2017,11,7.8,19.6,1
Mexico-Nuevo_Leon,18/11/2017,3,7.8,19.6,6
Mexico-Nuevo_Leon,25/11/2017,6,7.8,19.6,2
