City,Searches,Rain,Temp,Cases
Mexico-Hidalgo,71,16.8,18.5,0
Mexico-Hidalgo,0,51.2,23,0
Mexico-Hidalgo,0,18.5,16.4,0
Mexico-Hidalgo,51,16.8,18.5,0
Mexico-Hidalgo,0,58.3,18.6,17
Mexico-Hidalgo,3,58.3,18.6,28
Mexico-Hidalgo,13,3.1,15.7,0
Mexico-Hidalgo,0,130.7,20.7,0
Mexico-Hidalgo,0,51.2,23,0
Mexico-Hidalgo,5,49.4,22.6,0
Mexico-Hidalgo,14,33.2,20.9,0
Mexico-Hidalgo,3,109.6,18.2,2
Mexico-Hidalgo,46,20.7,18.4,0
Mexico-Hidalgo,10,33.2,20.9,0
Mexico-Hidalgo,0,130.7,20.7,0
Mexico-Hidalgo,12,7.6,13.8,0
Mexico-Hidalgo,0,4.9,16.5,3
Mexico-Hidalgo,16,51.8,18.1,0
Mexico-Hidalgo,8,2.4,14.9,0
Mexico-Hidalgo,0,109.6,18.2,2
Mexico-Hidalgo,0,9.3,16,0
Mexico-Hidalgo,4,73.5,21,0
Mexico-Hidalgo,0,182.1,19.8,7
Mexico-Hidalgo,0,18.5,16.4,1
Mexico-Hidalgo,14,58.3,18.6,21
Mexico-Hidalgo,0,73.5,21,0
Mexico-Hidalgo,25,33.2,20.9,0
Mexico-Hidalgo,12,130.7,20.7,0
Mexico-Hidalgo,31,5,17.4,0
Mexico-Hidalgo,0,3.1,15.7,0
Mexico-Hidalgo,24,20.7,18.4,0
Mexico-Hidalgo,11,18.5,16.4,2
Mexico-Hidalgo,31,16.8,18.5,0
Mexico-Hidalgo,0,182.1,19.8,1
Mexico-Hidalgo,15,116.6,20.3,9
Mexico-Hidalgo,0,134.2,20.7,0
Mexico-Hidalgo,0,95.1,20.3,11
Mexico-Hidalgo,0,182.1,19.8,9
Mexico-Hidalgo,8,116.6,20.3,18
Mexico-Hidalgo,0,5,17.4,1
Mexico-Hidalgo,22,33.2,20.9,0
Mexico-Hidalgo,0,95.1,20.3,4
Mexico-Hidalgo,0,73.5,21,0
Mexico-Hidalgo,0,16.5,19.6,0
Mexico-Hidalgo,31,49.4,22.6,0
Mexico-Hidalgo,0,7.6,13.8,0
Mexico-Hidalgo,0,69.2,22.1,0
Mexico-Hidalgo,0,51.2,23,1
Mexico-Hidalgo,20,95.1,20.3,6
Mexico-Hidalgo,58,7.6,13.8,0
Mexico-Hidalgo,4,116.6,20.3,14
Mexico-Hidalgo,0,95.1,20.3,4
