originalFile,r0
CatemacoWolbachia_HOM 391797.xml,1.333333333
CatemacoWolbachia_HOM 391797.xml,2
CatemacoWolbachia_HOM 391797.xml,0.333333333
CatemacoWolbachia_HOM 391797.xml,0.333333333
CatemacoWolbachia_HOM 392542.xml,2.142857143
CatemacoWolbachia_HOM 392542.xml,1
CatemacoWolbachia_HOM 392542.xml,1.25
CatemacoWolbachia_HOM 392542.xml,1.444444444
CatemacoWolbachia_HOM 392542.xml,0.75
CatemacoWolbachia_HOM 392542.xml,1.6
CatemacoWolbachia_HOM 392542.xml,2
CatemacoWolbachia_HOM 392542.xml,0.75
CatemacoWolbachia_HOM 392542.xml,1.333333333
CatemacoWolbachia_HOM 392542.xml,1.636363636
CatemacoWolbachia_HOM 403054.xml,2
CatemacoWolbachia_HOM 403054.xml,0.333333333
CatemacoWolbachia_HOM 403054.xml,1.75
CatemacoWolbachia_HOM 403054.xml,0.8
CatemacoWolbachia_HOM 403054.xml,2
CatemacoWolbachia_HOM 403054.xml,1.428571429
CatemacoWolbachia_HOM 403054.xml,0.333333333
CatemacoWolbachia_HOM 403054.xml,1.875
CatemacoWolbachia_HOM 403054.xml,1.8
CatemacoWolbachia_HOM 403054.xml,0.5
CatemacoWolbachia_HOM 406733.xml,1
CatemacoWolbachia_HOM 406733.xml,1.4
CatemacoWolbachia_HOM 406733.xml,1.428571429
CatemacoWolbachia_HOM 406733.xml,0
CatemacoWolbachia_HOM 406733.xml,1.625
CatemacoWolbachia_HOM 406733.xml,1.666666667
CatemacoWolbachia_HOM 406733.xml,1
CatemacoWolbachia_HOM 406733.xml,0.8
CatemacoWolbachia_HOM 406733.xml,2.125
CatemacoWolbachia_HOM 406733.xml,1.666666667
CatemacoWolbachia_HOM 420200.xml,1
CatemacoWolbachia_HOM 420200.xml,1.5
CatemacoWolbachia_HOM 420200.xml,2
CatemacoWolbachia_HOM 420200.xml,0.333333333
CatemacoWolbachia_HOM 420200.xml,1.625
CatemacoWolbachia_HOM 420200.xml,1.2
CatemacoWolbachia_HOM 420200.xml,1.285714286
CatemacoWolbachia_HOM 420200.xml,1
CatemacoWolbachia_HOM 420200.xml,1
CatemacoWolbachia_HOM 420200.xml,1.166666667
CatemacoWolbachia_HOM 422938.xml,2
CatemacoWolbachia_HOM 422938.xml,1.625
CatemacoWolbachia_HOM 422938.xml,1.4
CatemacoWolbachia_HOM 422938.xml,2
CatemacoWolbachia_HOM 422938.xml,0.75
CatemacoWolbachia_HOM 422938.xml,1.428571429
CatemacoWolbachia_HOM 422938.xml,1.9
CatemacoWolbachia_HOM 422938.xml,1.5
CatemacoWolbachia_HOM 422938.xml,2.2
CatemacoWolbachia_HOM 422938.xml,0.75
CatemacoWolbachia_HOM 438622.xml,0.5
CatemacoWolbachia_HOM 438622.xml,1.166666667
CatemacoWolbachia_HOM 438622.xml,2
CatemacoWolbachia_HOM 438622.xml,0.333333333
CatemacoWolbachia_HOM 438622.xml,1
CatemacoWolbachia_HOM 438622.xml,1.875
CatemacoWolbachia_HOM 438622.xml,2.2
CatemacoWolbachia_HOM 438622.xml,1
CatemacoWolbachia_HOM 438622.xml,2.2
CatemacoWolbachia_HOM 438622.xml,1.666666667
CatemacoWolbachia_HOM 450927.xml,2
CatemacoWolbachia_HOM 450927.xml,0.857142857
CatemacoWolbachia_HOM 450927.xml,1.777777778
CatemacoWolbachia_HOM 450927.xml,0.8
CatemacoWolbachia_HOM 450927.xml,1.545454545
CatemacoWolbachia_HOM 450927.xml,0.5
CatemacoWolbachia_HOM 450927.xml,1.25
CatemacoWolbachia_HOM 450927.xml,1.857142857
CatemacoWolbachia_HOM 450927.xml,1
CatemacoWolbachia_HOM 450927.xml,1.571428571
CatemacoWolbachia_HOM 457962.xml,0.8
CatemacoWolbachia_HOM 457962.xml,2
CatemacoWolbachia_HOM 457962.xml,1.571428571
CatemacoWolbachia_HOM 457962.xml,1.571428571
CatemacoWolbachia_HOM 457962.xml,1.777777778
CatemacoWolbachia_HOM 457962.xml,0.857142857
CatemacoWolbachia_HOM 457962.xml,1
CatemacoWolbachia_HOM 457962.xml,1.25
CatemacoWolbachia_HOM 457962.xml,1.875
CatemacoWolbachia_HOM 457962.xml,0.5
CatemacoWolbachia_HOM 477821.xml,2.666666667
CatemacoWolbachia_HOM 477821.xml,1
CatemacoWolbachia_HOM 477821.xml,2
CatemacoWolbachia_HOM 477821.xml,1.555555556
CatemacoWolbachia_HOM 477821.xml,0
CatemacoWolbachia_HOM 477821.xml,0.666666667
CatemacoWolbachia_HOM 477821.xml,2.166666667
CatemacoWolbachia_HOM 477821.xml,1
CatemacoWolbachia_HOM 477821.xml,1.125
CatemacoWolbachia_HOM 477821.xml,2.5
CatemacoWolbachia_HOM 499956.xml,1.714285714
CatemacoWolbachia_HOM 499956.xml,0
CatemacoWolbachia_HOM 499956.xml,1.142857143
CatemacoWolbachia_HOM 499956.xml,1.6
CatemacoWolbachia_HOM 499956.xml,2.166666667
CatemacoWolbachia_HOM 499956.xml,2
CatemacoWolbachia_HOM 499956.xml,1.142857143
CatemacoWolbachia_HOM 499956.xml,1.285714286
CatemacoWolbachia_HOM 499956.xml,1
CatemacoWolbachia_HOM 499956.xml,0.333333333
CatemacoWolbachia_HOM 52346.xml,1.333333333
CatemacoWolbachia_HOM 52346.xml,1
CatemacoWolbachia_HOM 52346.xml,0
CatemacoWolbachia_HOM 52346.xml,2.090909091
CatemacoWolbachia_HOM 52346.xml,1.333333333
CatemacoWolbachia_HOM 52346.xml,1.25
CatemacoWolbachia_HOM 52346.xml,0
CatemacoWolbachia_HOM 52346.xml,1.666666667
CatemacoWolbachia_HOM 52346.xml,0
CatemacoWolbachia_HOM 52346.xml,0.833333333
CatemacoWolbachia_HOM 54897.xml,1.777777778
CatemacoWolbachia_HOM 54897.xml,1.75
CatemacoWolbachia_HOM 54897.xml,0.5
CatemacoWolbachia_HOM 54897.xml,2.125
CatemacoWolbachia_HOM 54897.xml,0.333333333
CatemacoWolbachia_HOM 54897.xml,0.666666667
CatemacoWolbachia_HOM 54897.xml,0.333333333
CatemacoWolbachia_HOM 54897.xml,1.4
CatemacoWolbachia_HOM 54897.xml,0.75
CatemacoWolbachia_HOM 54897.xml,1
CatemacoWolbachia_HOM 63454.xml,1
CatemacoWolbachia_HOM 63454.xml,1.375
CatemacoWolbachia_HOM 63454.xml,1.5
CatemacoWolbachia_HOM 63454.xml,0.75
CatemacoWolbachia_HOM 63454.xml,0.75
CatemacoWolbachia_HOM 63454.xml,0
CatemacoWolbachia_HOM 63454.xml,1
CatemacoWolbachia_HOM 63454.xml,0.75
CatemacoWolbachia_HOM 63454.xml,1.5
CatemacoWolbachia_HOM 63454.xml,0
CatemacoWolbachia_HOM 87384.xml,1
CatemacoWolbachia_HOM 87384.xml,0.333333333
CatemacoWolbachia_HOM 87384.xml,1.333333333
CatemacoWolbachia_HOM 87384.xml,1.857142857
CatemacoWolbachia_HOM 87384.xml,1
CatemacoWolbachia_HOM 87384.xml,2.333333333
CatemacoWolbachia_HOM 87384.xml,1
CatemacoWolbachia_HOM 87384.xml,1.75
CatemacoWolbachia_HOM 87384.xml,1.25
CatemacoWolbachia_HOM 87384.xml,1.25
CatemacoWolbachia_HOM 89961.xml,2.571428571
CatemacoWolbachia_HOM 89961.xml,1.75
CatemacoWolbachia_HOM 89961.xml,0.333333333
CatemacoWolbachia_HOM 89961.xml,0.333333333
CatemacoWolbachia_HOM 89961.xml,1.5
CatemacoWolbachia_HOM 89961.xml,1
CatemacoWolbachia_HOM 89961.xml,0.75
CatemacoWolbachia_HOM 89961.xml,1
CatemacoWolbachia_HOM 89961.xml,1.125
CatemacoWolbachia_HOM 89961.xml,1.25
CatemacoWolbachia_HOM 90074.xml,1.571428571
CatemacoWolbachia_HOM 90074.xml,0
CatemacoWolbachia_HOM 90074.xml,1.75
CatemacoWolbachia_HOM 90074.xml,2.8
CatemacoWolbachia_HOM 90074.xml,1.8
CatemacoWolbachia_HOM 90074.xml,1.5
CatemacoWolbachia_HOM 90074.xml,1.583333333
CatemacoWolbachia_HOM 90074.xml,0.75
CatemacoWolbachia_HOM 90074.xml,0
CatemacoWolbachia_HOM 90074.xml,1.666666667
CatemacoWolbachia_HOM 94581.xml,0.75
CatemacoWolbachia_HOM 94581.xml,1.5
CatemacoWolbachia_HOM 94581.xml,0.666666667
CatemacoWolbachia_HOM 94581.xml,1.857142857
CatemacoWolbachia_HOM 94581.xml,1.714285714
CatemacoWolbachia_HOM 94581.xml,2.125
CatemacoWolbachia_HOM 94581.xml,1
CatemacoWolbachia_HOM 94581.xml,1.142857143
CatemacoWolbachia_HOM 94581.xml,1
CatemacoWolbachia_HOM 94581.xml,1.6
Avg,1.181743747
